"","encoding","file","scenario","size","anomaly","impact","overlapping.F1.mean","overlapping.F1.sd","overlapping.F1v.mean","overlapping.F1v.sd","overlapping.F2.mean","overlapping.F2.sd","overlapping.F3.mean","overlapping.F3.sd","overlapping.F4.mean","overlapping.F4.sd","neighborhood.N1","neighborhood.N2.mean","neighborhood.N2.sd","neighborhood.N3.mean","neighborhood.N3.sd","neighborhood.N4.mean","neighborhood.N4.sd","neighborhood.T1.mean","neighborhood.T1.sd","neighborhood.LSC","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L2.sd","linearity.L3.mean","linearity.L3.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4","balance.C1","balance.C2","network.Density","network.ClsCoef","network.Hubs.mean","network.Hubs.sd"
"1591","alignment","scenario4_1000_late_0.1.csv","scenario4","1000","late","0.1","0.999685471752912","0.000557464077392743","0.833937532615933",NA,"0.790455914090073",NA,"0.971",NA,"0.918",NA,"0.597","0.194754161029832","0.273828356463423","0.079","0.269873733126868","0.436","0.496135213576047","0.00102394106813996","0.00402177852703327","0.991092","0.0884193173999428",NA,"0.097",NA,"0.084",NA,"0.005","0.001","0.2","0.459413032704721","0.787611327589844","0.912408408408408","0.228552449294427","0.846573212569419","0.238407694802454"
"1601","alignment","scenario4_1000_late_0.15.csv","scenario4","1000","late","0.15","0.995021123189291","0.0029172190854741","0.916728360861518",NA,"0.950568486751626",NA,"0.969",NA,"0.956",NA,"0.624","0.261054791596392","0.282349157734112","0.135","0.341894562536306","0.534","0.499092269117739","0.000961409395973154","0.003319439158893","0.99436","0.134964079979142",NA,"0.156",NA,"0.152",NA,"0.005","0.001","0.2","0.624653823250712","0.642543764389036","0.927613613613614","0.235324569117476","0.861082406386075","0.234508553164511"
"1611","alignment","scenario4_1000_late_0.2.csv","scenario4","1000","late","0.2","0.999145706081393","0.00142883101507516","0.975870340784374",NA,"0.795635244896289",NA,"0.988",NA,"0.929",NA,"0.654","0.310670895301907","0.256925890419201","0.163","0.369550493934953","0.585","0.492968577110162","0.000889240506329114","0.00321008879997317","0.994966","0.165290568853729",NA,"0.198",NA,"0.2",NA,"0.005","0.001","0.2","0.717910015869478","0.534601001160596","0.924038038038038","0.205687930173555","0.945461200695367","0.122763080337839"
"1621","alignment","scenario4_1000_rework_0.05.csv","scenario4","1000","rework","0.05","0.993772748520614","0.00378145744321971","0.76113289940686",NA,"0.114592644632843",NA,"0.774",NA,"0.468",NA,"0.536","0.0411052197345415","0.112096230529312","0.02","0.140070052543788","0.423","0.494282626960846","0.0204081632653061","0.0414889133621596","0.900111","0.0467140204739555",NA,"0.049",NA,"0.035",NA,"0.005","0.001","0.2","0.282133746452046","0.897223429149914","0.902532532532533","0.279526987116567","0.844183236455823","0.263055634908344"
"1631","alignment","scenario4_1000_rework_0.1.csv","scenario4","1000","rework","0.1","0.995104113390383","0.00237472924118649","0.783060815231902",NA,"0.586405024912489",NA,"0.805",NA,"0.589",NA,"0.498","0.0481173992692694","0.123910899006316","0.023","0.149978310076802","0.292","0.454909818472786","0.0149253731343284","0.0329918784463581","0.919571","0.0817336275155492",NA,"0.089",NA,"0.091",NA,"0.005","0.001","0.2","0.433123110202409","0.806457542114146","0.908568568568569","0.206899516701223","0.886319125738384","0.236246856203775"
"1641","alignment","scenario4_1000_rework_0.15.csv","scenario4","1000","rework","0.15","0.997899407032016","0.00171639030018713","0.752701128034088",NA,"0.217910555963884",NA,"0.772",NA,"0.528",NA,"0.41","0.0844481060681993","0.162433567384232","0.038","0.191291904148065","0.382","0.486119648144685","0.0102040816326531","0.025797769896294","0.920111","0.136424790426738",NA,"0.158",NA,"0.156",NA,"0.005","0.001","0.2","0.629503378228199","0.63746852552294","0.926698698698699","0.309289623490451","0.88860416039566","0.229711757518252"
"1651","alignment","scenario4_1000_rework_0.2.csv","scenario4","1000","rework","0.2","0.998901737301785","0.00160083781141029","0.971967374447348",NA,"0.707082763046534",NA,"0.838",NA,"0.749",NA,"0.423","0.0972770961251944","0.188986166954605","0.062","0.241276219744537","0.316","0.465145526002734","0.0072463768115942","0.0233562731985561","0.924165","0.165299326455968",NA,"0.198",NA,"0.204",NA,"0.005","0.001","0.2","0.717910015869478","0.534601001160596","0.936930930930931","0.256889594157645","0.890388989987963","0.200565773653564"
"1661","alignment","scenario4_1000_skip_0.05.csv","scenario4","1000","skip","0.05","0.999409095453887","0.000179422476812171","0.779755334102851",NA,"0.788186479093849",NA,"0.884",NA,"0.803",NA,"0.62","0.0790204736449779","0.165650260406958","0.031","0.173404351355637","0.315","0.464748309293311","0.00347679324894515","0.0172684588492751","0.934317","0.0539230230538885",NA,"0.0570000000000001",NA,"0.0629999999999999",NA,"0.005","0.001","0.2","0.315419088938081","0.87954930991442","0.913005005005005","0.240511904896629","0.901774100548788","0.191116550616915"
"1671","alignment","scenario4_1000_skip_0.1.csv","scenario4","1000","skip","0.1","0.999601786106011","0.000337640443079458","0.5823240391516",NA,"0.653868551085333",NA,"0.875",NA,"0.853",NA,"0.668","0.0783604700110391","0.167337588218155","0.041","0.198389410902796","0.405","0.491137675419242","0.0057625","0.0219451825632837","0.920355","0.0942882714212444",NA,"0.105",NA,"0.104",NA,"0.005","0.001","0.2","0.484647739731445","0.768548734683825","0.92582982982983","0.191678146927791","0.872189044960982","0.281661001039167"
"1681","alignment","scenario4_1000_skip_0.15.csv","scenario4","1000","skip","0.15","0.999163774020499","0.000725577848292132","0.628103782565161",NA,"0.526448636998127",NA,"0.934",NA,"0.773",NA,"0.59","0.0750173097338603","0.148070079376123","0.031","0.173404351355637","0.503","0.500241183071967","0.0119047619047619","0.0289255875585143","0.923278","0.134523936354854",NA,"0.156",NA,"0.145",NA,"0.005","0.001","0.2","0.624653823250712","0.642543764389036","0.927115115115115","0.131754119031624","0.902015346805872","0.217753641963857"
"1691","alignment","scenario4_1000_skip_0.2.csv","scenario4","1000","skip","0.2","0.998203471725042","0.000866572044984956","0.610826269451177",NA,"0.612839272986996",NA,"0.912",NA,"0.897",NA,"0.636","0.179609513194143","0.239452440592766","0.084","0.277526613176144","0.449","0.497641082153239","0.00116826003824092","0.0044852233158213","0.990472","0.156453719495361",NA,"0.194",NA,"0.186",NA,"0.005","0.001","0.2","0.721928094887362","0.529411764705882","0.931351351351351","0.164280226108887","0.888751427580733","0.241358700345002"
"1701","alignment","scenario5_1000_all_0.05.csv","scenario5","1000","all","0.05","0.99401577459028","0.000837643811406804","0.584761761981606","0.215544636796372","0.320534484751548","0.196081126449778","0.690905211155452","0.125903339961138","0.107526363687817","0.199807483727817","0.422","0.0822682467220943","0.212901030251909","0.043","0.202958597236462","0.435","0.496005061487301","0.00161070559610706","0.00658040566904598","0.984589","0.147841422126261","0.0950754984022849","0.225469893089042","0.145623038756192","0.205996923678767","0.157855100471161","0.005","0.001","0.2","0.143987600603525","0.940040631397147","0.889061061061061","0.250719348664092","0.749796200762289","0.310658615709693"
"1711","alignment","scenario5_1000_all_0.1.csv","scenario5","1000","all","0.1","0.996240801854396","0.00106708032028844","0.736400981744179","0.152452112682656","0.622679406304541","0.125869032904578","0.844224749282548","0.105570649499312","0.305444128118848","0.245358065089398","0.484","0.184321465652171","0.27076302530652","0.105","0.306706812883361","0.373","0.483844091733179","0.00148373101952278","0.00460319548334926","0.991618","0.168832032691958","0.101451660595589","0.280811245945865","0.174436758760242","0.258195285170144","0.160447379337228","0.005","0.001","0.2","0.281310746205168","0.854943606860782","0.904432432432432","0.241772100232045","0.697681676482274","0.292550776310003"
"172","alignment","scenario5_1000_all_0.15.csv","scenario5","1000","all","0.15","0.987184198539706","0.00377482845743864","0.766351264617901","0.16199542635823","0.384992115094411","0.220023303325023","0.740880576603811","0.133778741069193","0.42598884257322","0.268070479476484","0.497","0.20360953116789","0.340668511011693","0.128","0.334256978577453","0.537","0.49887862239214","0.000637181409295352","0.00336699175601297","0.993571","0.168055600780243","0.0975995043456799","0.26466859137638","0.162246054991442","0.267553000895404","0.177137152376739","0.005","0.001","0.2","0.345267179438769","0.805530701450358","0.920930930930931","0.274106974321305","0.893680459414748","0.209064360180007"
"173","alignment","scenario5_1000_all_0.2.csv","scenario5","1000","all","0.2","0.997642971444783","0.000819316010103948","0.809727050240509","0.143741020530424","0.395874223672351","0.182447858144851","0.860650243446375","0.100841184193202","0.584832969762534","0.217063148983485","0.576","0.306019700393031","0.361717039886899","0.221","0.415128090270137","0.616","0.486601254397048","0.000859813084112149","0.00248972402206301","0.99647","0.179087243921034","0.0966218645871923","0.298768692061301","0.16963201393845","0.320156893379202","0.191784188972216","0.005","0.002","0.4","0.446062192924243","0.716375220754346","0.919663663663664","0.239093220006484","0.940892876002919","0.13102225925903"
"174","alignment","scenario5_1000_attribute_0.05.csv","scenario5","1000","attribute","0.05","0.999762398570816","9.46400993609913e-05","0.845589766557701",NA,"0.361692829713418",NA,"0.991",NA,"0.973",NA,"0.101","0.0807996452784139","0.247148869573642","0.058","0.233860408557521","0.131","0.337569182469243","0.000740677966101695","0.00571260241612428","0.985369","0.0412385697236567",NA,"0.043",NA,"0.052",NA,"0.005","0.001","0.2","0.25588191564677","0.910316901638665","0.899063063063063","0.259884406957302","0.951915423551342","0.129365646746304"
"175","alignment","scenario5_1000_attribute_0.1.csv","scenario5","1000","attribute","0.1","0.995721332151931","0.0010313496145921","0.938038551701607",NA,"0.62780141890654",NA,"0.971",NA,"0.971",NA,"0.177","0.141854212294592","0.315484100012872","0.132","0.338660140392534","0.189","0.391704521843229","0.000265432098765432","0.00220347295793433","0.997118","0.0867717635194668",NA,"0.095",NA,"0.076",NA,"0.005","0.001","0.2","0.452942548187283","0.792343457520681","0.90049049049049","0.275556001002984","0.884319207825449","0.27941715318282"
"176","alignment","scenario5_1000_attribute_0.15.csv","scenario5","1000","attribute","0.15","0.999983298091744","1.96644680099812e-05","0.977029293043845",NA,"0.72901643054429",NA,"0.989",NA,"0.98",NA,"0.312","0.230594682862436","0.3618296094303","0.184","0.387678080750375","0.202","0.401693113405442","0.000205128205128205","0.00171407020898423","0.997955","0.134927678055632",NA,"0.156",NA,"0.154",NA,"0.005","0.001","0.2","0.624653823250712","0.642543764389036","0.917627627627628","0.298043197103172","0.886950892869429","0.289386270980018"
"177","alignment","scenario5_1000_attribute_0.2.csv","scenario5","1000","attribute","0.2","0.997424009769376","3.40784472426156e-05","0.980918057084535",NA,"0.813671294315958",NA,"0.99",NA,"0.99",NA,"0.405","0.242676476774289","0.382656342454307","0.456","0.498309454367778","0.292","0.454909818472786","0.000142699115044248","0.000985269026428807","0.999191","0.168043188450242",NA,"0.202",NA,"0.201",NA,"0.005","0.001","0.2","0.725910106040793","0.524220493264542","0.92212012012012","0.269914643450911","0.908531403695725","0.242879806768998"
"178","alignment","scenario5_1000_early_0.05.csv","scenario5","1000","early","0.05","0.994934782627079","0.00156416723254359","0.492058077124197",NA,"0.00682499470697827",NA,"0.662",NA,"0.571",NA,"0.403","0.0532024759918733","0.162308162562597","0.037","0.188856206322871","0.212","0.408929362143663","0.0153846153846154","0.0456428705781679","0.866682","0.0501255299013246",NA,"0.053",NA,"0.0570000000000001",NA,"0.005","0.002","0.4","0.299006577721677","0.888417083695524","0.891261261261261","0.287002192390867","0.805242139210711","0.305945375727071"
"179","alignment","scenario5_1000_early_0.1.csv","scenario5","1000","early","0.1","0.999041353316314","0.000676979248289649","0.96007361158118",NA,"0.669746444756431",NA,"0.993",NA,"0.956",NA,"0.471","0.101776748288615","0.243537141374707","0.095","0.293361655744341","0.458","0.498482180709085","0.00121298174442191","0.00466709570839211","0.991239","0.0925564457299085",NA,"0.102",NA,"0.106",NA,"0.005","0.001","0.2","0.475303571783445","0.775722079117736","0.909541541541542","0.217788393740851","0.850451847025265","0.260956912843114"
"180","alignment","scenario5_1000_early_0.15.csv","scenario5","1000","early","0.15","0.997978593628383","0.00144838240069334","0.927212073668095",NA,"0.995562516314278",NA,"0.998",NA,"0.998",NA,"0.515","0.144630489558431","0.301285835026198","0.152","0.359200535947575","0.308","0.461897552872224","0.000402906208718626","0.0023965676531915","0.996113","0.123598092075832",NA,"0.141",NA,"0.126",NA,"0.005","0.002","0.4","0.586851742115917","0.680324429042364","0.906034034034034","0.401900603066548","0.865885170975003","0.196545854837894"
"181","alignment","scenario5_1000_early_0.2.csv","scenario5","1000","early","0.2","0.99184634820469","0.00297404112069997","0.881452073027621",NA,"0.70121124304406",NA,"0.951",NA,"0.654",NA,"0.552","0.206832052113388","0.27456420322301","0.161","0.367714854492192","0.38","0.485629319374187","0.00414583333333333","0.0179172780538545","0.920357","0.1575337053432",NA,"0.187",NA,"0.209",NA,"0.005","0.001","0.2","0.695153336956101","0.563090390235912","0.91225025025025","0.292570733141585","0.869423420427333","0.220927856761746"
"182","alignment","scenario5_1000_insert_0.05.csv","scenario5","1000","insert","0.05","0.999779509731437","0.000157563841092113","0.880767792947929",NA,"0.801359436612462",NA,"0.985",NA,"0.611",NA,"0.377","0.0175077213743624","0.100970738439127","0.016","0.125537881771837","0.373","0.483844091733179","0.0208333333333333","0.0495019162892918","0.871474","0.0375421658726568",NA,"0.039",NA,"0.034",NA,"0.005","0.001","0.2","0.237688289562885","0.918968003614971","0.880684684684685","0.302238716544305","0.835637498980619","0.306866050155939"
"183","alignment","scenario5_1000_insert_0.1.csv","scenario5","1000","insert","0.1","0.99949810411317","0.000474444920821318","0.841019393570431",NA,"0.600705957283615",NA,"0.956",NA,"0.536",NA,"0.44","0.0341288074492472","0.128210638542395","0.021","0.143455845400526","0.391","0.488218554908923","0.0153846153846154","0.0357485543010537","0.90559","0.100694851321668",NA,"0.112",NA,"0.098",NA,"0.005","0.001","0.2","0.505919244072741","0.751697691140049","0.902576576576577","0.345890446108818","0.834751452873608","0.22891235200181"
"184","alignment","scenario5_1000_insert_0.15.csv","scenario5","1000","insert","0.15","0.999031196786099","0.000686498381886116","0.96418388148758",NA,"0.522794149249539",NA,"0.944",NA,"0.599",NA,"0.501","0.0425003208336135","0.136071895647803","0.025","0.156203071030628","0.441","0.496755237280661","0.0116279069767442","0.0331048411286922","0.897295","0.132699243379205",NA,"0.153",NA,"0.149",NA,"0.005","0.001","0.2","0.617297163775739","0.65014079031557","0.904760760760761","0.351381684546871","0.83055560394643","0.264484164561899"
"185","alignment","scenario5_1000_insert_0.2.csv","scenario5","1000","insert","0.2","0.996776316234913","0.00216637658189117","0.798231513071086",NA,"0.569880325297818",NA,"0.934",NA,"0.597",NA,"0.437","0.0506384287088109","0.140895569486853","0.031","0.173404351355637","0.476","0.499673567115245","0.0119047619047619","0.0310718634771497","0.910609","0.161680313917375",NA,"0.194",NA,"0.19",NA,"0.005","0.001","0.2","0.709764554284242","0.544972005261381","0.918526526526527","0.377573972416841","0.783622966853997","0.263715770309229"
"186","alignment","scenario5_1000_late_0.05.csv","scenario5","1000","late","0.05","0.998476490121709","0.000367487546350403","0.954201577274974",NA,"0.934691739243038",NA,"0.991",NA,"0.982",NA,"0.404","0.136577430964541","0.215398736951249","0.049","0.215976030257169","0.499","0.500249187155011","0.00167412935323383","0.0081995545991306","0.981801","0.0503263887192616",NA,"0.053",NA,"0.056",NA,"0.005","0.001","0.2","0.299006577721677","0.888417083695524","0.892438438438438","0.139154967506033","0.876858920928062","0.272814285358598"
"187","alignment","scenario5_1000_late_0.1.csv","scenario5","1000","late","0.1","0.998840601500734","0.000524119585902178","0.972254982765611",NA,"0.892850166987068",NA,"0.991",NA,"0.987",NA,"0.435","0.152250003761376","0.233898293841929","0.077","0.266724843503829","0.299","0.458048915301421","0.00170048309178744","0.00618888715531824","0.98799","0.083409062792098",NA,"0.091",NA,"0.097",NA,"0.005","0.001","0.2","0.439798908271562","0.801766675214064","0.897973973973974","0.155524834960945","0.85832459259074","0.249652964165642"
"188","alignment","scenario5_1000_late_0.15.csv","scenario5","1000","late","0.15","0.999383105712801","0.000896002865518301","0.926671913710577",NA,"0.771062986454575",NA,"0.972",NA,"0.97",NA,"0.513","0.23435515329497","0.273377509038416","0.13","0.336471712352188","0.36","0.480240180150131","0.00144605809128631","0.00370286665102699","0.994012","0.117396322531469",NA,"0.133",NA,"0.142",NA,"0.005","0.001","0.2","0.565608665887098","0.700248772384966","0.907581581581582","0.25814005746661","0.788117075102097","0.267003841859159"
"189","alignment","scenario5_1000_late_0.2.csv","scenario5","1000","late","0.2","0.999337090694534","0.000756975603485831","0.740017607627264",NA,"0.314632569670639",NA,"0.951",NA,"0.944",NA,"0.54","0.299767905726634","0.300257239200059","0.169","0.374939434548541","0.513","0.500081074508005","0.00127675276752768","0.00335471833276398","0.995233","0.156810676564998",NA,"0.19",NA,"0.21",NA,"0.005","0.002","0.4","0.701471459883897","0.555330829240104","0.909751751751752","0.210065682209625","0.884964893134556","0.228825905390789"
"190","alignment","scenario5_1000_rework_0.05.csv","scenario5","1000","rework","0.05","0.984384341557717","0.00609636068182197","0.325750387171281",NA,"0.372596354496931",NA,"0.701",NA,"0.611",NA,"0.344","0.0205725283056838","0.0865034843598593","0.014","0.117549214450024","0.39","0.487993993957034","0.0238095238095238","0.0535201070468315","0.864069","0.0394766165612923",NA,"0.04",NA,"0.034",NA,"0.005","0.001","0.2","0.26034062501245","0.908144369518885","0.883813813813814","0.200612329888825","0.86352220117732","0.252677849008184"
"191","alignment","scenario5_1000_rework_0.1.csv","scenario5","1000","rework","0.1","0.967377600781012","0.0220728992420605","0.520785077612947",NA,"0.0021912418264046",NA,"0.705",NA,"0.608",NA,"0.349","0.0557068883366657","0.119283698881391","0.02","0.140070052543788","0.29","0.453989103510322","0.0135135135135135","0.033888311009883","0.906885","0.086491840799268",NA,"0.084",NA,"0.087",NA,"0.005","0.002","0.4","0.459413032704721","0.787611327589844","0.897053053053053","0.155955462328277","0.983876365223942","0.0861382612170208"
"192","alignment","scenario5_1000_rework_0.15.csv","scenario5","1000","rework","0.15","0.997417238530084","0.00214695083240891","0.799067667665683",NA,"0.121244348794382",NA,"0.734",NA,"0.639",NA,"0.4","0.0897379205221523","0.1715321931149","0.048","0.213873190797121","0.421","0.493966601100725","0.00786614173228346","0.0248220211386648","0.917924","0.133435646466287",NA,"0.154",NA,"0.158",NA,"0.005","0.001","0.2","0.619760437655595","0.647610598405262","0.904662662662663","0.160422037972979","0.865335129820819","0.263022244053817"
"193","alignment","scenario5_1000_rework_0.2.csv","scenario5","1000","rework","0.2","0.999394891784148","0.00109990365452032","0.834754415165607",NA,"0.255659816373077",NA,"0.706",NA,"0.535",NA,"0.433","0.0854352556562147","0.199711903865825","0.068","0.251871871076227","0.368","0.48250265160806","0.00735294117647059","0.0264601809606546","0.898619","0.168067634772304",NA,"0.202",NA,"0.2",NA,"0.005","0.001","0.2","0.725910106040793","0.524220493264542","0.922176176176176","0.212377401190011","0.824844519054397","0.295428419075541"
"194","alignment","scenario5_1000_skip_0.05.csv","scenario5","1000","skip","0.05","0.872586917929956","0.0333216367343788","0.118953074116119",NA,"0.193156240767107",NA,"0.849",NA,"0.488",NA,"0.337","0.0104585372408212","0.0774051340455773","0.011","0.104354635210372","0.306","0.461060274342278","0.0454545454545455","0.0883896822640286","0.810641","0.0351450817723749",NA,"0.038",NA,"0.033",NA,"0.005","0.001","0.2","0.273513827707064","0.901603439299311","0.892466466466466","0.25260702320708","0.940581712076533","0.163479721703587"
"195","alignment","scenario5_1000_skip_0.1.csv","scenario5","1000","skip","0.1","0.924179470798917","0.026024787815714","0.143910371032554",NA,"0.00786502138735625",NA,"0.909",NA,"0.501",NA,"0.387","0.039413516836744","0.12951212976123","0.028","0.16505527329729","0.357","0.479354546010342","0.0178571428571429","0.0467824475909224","0.863932","0.0613356157422319",NA,"0.0679999999999999",NA,"0.073",NA,"0.005","0.001","0.2","0.419556496238547","0.815797264491681","0.895197197197197","0.17845296965518","0.981932511834821","0.105546602107763"
"196","alignment","scenario5_1000_skip_0.15.csv","scenario5","1000","skip","0.15","0.910820560028907","0.0503432386137165","0.164061332016218",NA,"0.0483351322414078",NA,"0.893",NA,"0.516",NA,"0.442","0.0321981780411797","0.112592234723825","0.016","0.125537881771837","0.407","0.491520693961701","0.0196078431372549","0.0451805614977824","0.889194","0.0821116339264274",NA,"0.089",NA,"0.077",NA,"0.005","0.001","0.2","0.592041938748365","0.675317725043648","0.896216216216216","0.280511257379929","0.93208390103965","0.222966694559949"
"197","alignment","scenario5_1000_skip_0.2.csv","scenario5","1000","skip","0.2","0.987030570272413","0.00663357467723969","0.610963796084159",NA,"0.0795630003989791",NA,"0.928",NA,"0.58",NA,"0.365","0.0411713203411855","0.129745867288446","0.027","0.162164414398774","0.447","0.497431843008103","0.0136986301369863","0.0359442797687951","0.8978","0.141271563337609",NA,"0.166",NA,"0.175",NA,"0.005","0.001","0.2","0.648472158805648","0.617088362521988","0.906508508508509","0.195001423888786","0.922631309660602","0.168906818282816"
"198","fasttext","scenario1_1000_all_0.05.csv","scenario1","1000","all","0.05","0.949521746390818","0.0585476928868451","0.336629471782194","0.269419010477117","0.00656240994076654","0.0252987312996008","0.323867869463963","0.317276247698299","0.0503325829343704","0.112805275665152","0.137","0.111272155938415","0.199845188720243","0.054","0.226130792098589","0.103","0.304110972316823","0.00723664122137405","0.0203929973128292","0.960784","0.031516107026906","0.0775031365191943","0.0527894421588563","0.128936249370336","0.0544797002989654","0.135720247035076","0.05","0.005","0.1","0.164958792735493","0.928425430710518","0.840854854854855","0.229700014607266","0.820312156632421","0.333181161733575"
"211","fasttext","scenario1_1000_all_0.1.csv","scenario1","1000","all","0.1","0.954151796193765","0.0637349639522336","0.228064596151626","0.335396389656153","0.022325401707246","0.0777348464922756","0.520284637521583","0.349030403302293","0.0381895974337925","0.108491881998121","0.182","0.155780485411041","0.232846973112492","0.08","0.271428947744476","0.291","0.454450795494436","0.0030355871886121","0.0099763370260607","0.978443","0.051413126928885","0.0943931674100681","0.0637340193322581","0.131886694480833","0.0867021333850885","0.180938961723535","0.05","0.006","0.12","0.258699915901853","0.871819181463779","0.850956956956957","0.216277185210514","0.834315548743762","0.301371052892606"
"310","fasttext","scenario1_1000_all_0.15.csv","scenario1","1000","all","0.15","0.935463217884512","0.0843132316556755","0.221715716187844","0.330518501211324","0.0756475847801876","0.220413057243484","0.549321918191184","0.338014406912022","0.0727240274083834","0.153262745805128","0.296","0.173368675138529","0.260731579442798","0.134","0.340822769427396","0.27","0.444181603960922","0.00267834394904459","0.00806612304758","0.984343","0.0459576918379871","0.0916039040198086","0.0641074900186535","0.130701792773882","0.0648024657719528","0.132639420463353","0.05","0.006","0.12","0.343633403459177","0.808493917080773","0.862294294294294","0.21815734239832","0.842617865938898","0.314679702335293"
"411","fasttext","scenario1_1000_all_0.2.csv","scenario1","1000","all","0.2","0.949738530625479","0.0682084912311471","0.23061129747074","0.32898855930519","0.126363370953532","0.297612141741692","0.608007609995547","0.310733011698309","0.0953828435160888","0.229551626094839","0.409","0.257438355767345","0.292002668003171","0.164","0.370460849809047","0.433","0.495738597202958","0.00166520787746171","0.0045377985632893","0.993144","0.0419790290274906","0.0850315479467443","0.0602569215266186","0.124675447497524","0.0596110361172132","0.132684964875641","0.05","0.007","0.14","0.431578717787399","0.730559765087759","0.876980980980981","0.20519972312873","0.845725840135139","0.322779788213055"
"510","fasttext","scenario1_1000_attribute_0.05.csv","scenario1","1000","attribute","0.05","0.999772390536231","0.000234965021682275","0.964590262672488",NA,"0.999989275802",NA,"0.943",NA,"0.73",NA,"0.091","0.12147030907311","0.209660911966261","0.058","0.233860408557521","0.094","0.291974740772638","0.0025016501650165","0.0103929021205091","0.979087","0.0356811445324833",NA,"0.037",NA,"0.032",NA,"0.05","0.005","0.1","0.228364025840565","0.923270071860955","0.837369369369369","0.237826353601768","0.846446715760193","0.268674499222764"
"612","fasttext","scenario1_1000_attribute_0.1.csv","scenario1","1000","attribute","0.1","0.999357722253699","0.000813067523459455","0.901219608274976",NA,"0.999994516764263",NA,"0.96",NA,"0.892",NA,"0.332","0.250271663855214","0.314965299182945","0.172","0.377569276502417","0.128","0.334256978577453","0.00117836812144213","0.00436439826744221","0.992905","0.0999095705282584",NA,"0.111",NA,"0.104",NA,"0.05","0.004","0.08","0.50292491124756","0.754114536742408","0.861315315315315","0.249251546145345","0.839782804318562","0.321006790725834"
"710","fasttext","scenario1_1000_attribute_0.15.csv","scenario1","1000","attribute","0.15","0.999769736218239","0.000349289160333479","0.979872871122435",NA,"0.999997968029577",NA,"0.985",NA,"0.954",NA,"0.375","0.30940302015244","0.336775306796387","0.214","0.410332026988355","0.284","0.451162440311189","0.000819776714513557","0.00266039307694669","0.996609","0.128922096493102",NA,"0.148",NA,"0.175",NA,"0.05","0.004","0.08","0.604812590116588","0.662758355085797","0.868590590590591","0.242704105303301","0.848732165726053","0.305463672896779"
"812","fasttext","scenario1_1000_attribute_0.2.csv","scenario1","1000","attribute","0.2","0.996118936432252","0.00358295598579407","0.879737289919124",NA,"0.999996950495798",NA,"0.987",NA,"0.963",NA,"0.394","0.337349922749405","0.351732617291259","0.268","0.443139224592421","0.256","0.436640189005381","0.000723589001447178","0.00203953870149437","0.99759","0.149662254903954",NA,"0.176",NA,"0.175",NA,"0.05","0.005","0.1","0.671247885382951","0.591454070134319","0.88219019019019","0.239182473370625","0.871774258343292","0.265781942137785"
"910","fasttext","scenario1_1000_early_0.05.csv","scenario1","1000","early","0.05","0.998679583386341","0.0017514090355197","0.767857096508124",NA,"0.999994019799497",NA,"0.957",NA,"0.869",NA,"0.211","0.108081685389852","0.198332919179726","0.055","0.228094337998616","0.073","0.260266668512775","0.00697163120567376","0.0136940775845469","0.972561","0.0539225767586556",NA,"0.0570000000000001",NA,"0.045",NA,"0.05","0.004","0.08","0.315419088938081","0.87954930991442","0.846278278278278","0.240072425539629","0.832749486765366","0.324307277896175"
"1011","fasttext","scenario1_1000_early_0.1.csv","scenario1","1000","early","0.1","0.998668693075616","0.00122101815727986","0.929609142460301",NA,"0.999992499611508",NA,"0.986",NA,"0.89",NA,"0.245","0.160690356999231","0.231282746159722","0.098","0.297463417052391","0.325","0.468609213091884","0.00345955882352941","0.00729594618956","0.98343","0.0999217105896828",NA,"0.111",NA,"0.125",NA,"0.05","0.005","0.1","0.50292491124756","0.754114536742408","0.858006006006006","0.222029374695598","0.816370771768949","0.339723948254258"
"1110","fasttext","scenario1_1000_early_0.15.csv","scenario1","1000","early","0.15","0.999444997476564","0.000570023054078136","0.978438927248528",NA,"0.99999089994923",NA,"0.986",NA,"0.868",NA,"0.362","0.174061212917959","0.245585297099864","0.131","0.337569182469243","0.376","0.484622387905118","0.00317171717171717","0.00637622336545893","0.987526","0.134212577511699",NA,"0.155",NA,"0.145",NA,"0.05","0.004","0.08","0.622212638006313","0.645078246731251","0.865575575575576","0.207722341420171","0.856638534448768","0.287137581197505"
"1212","fasttext","scenario1_1000_early_0.2.csv","scenario1","1000","early","0.2","0.999753979367772","0.000277012147918974","0.976598988106435",NA,"0.999992983374048",NA,"0.99",NA,"0.946",NA,"0.339","0.209895323077016","0.262086423085867","0.156","0.363036906933435","0.368","0.48250265160806","0.00240108401084011","0.00581383272855699","0.98893","0.148932331725144",NA,"0.175",NA,"0.188",NA,"0.05","0.005","0.1","0.669015835056558","0.59402460456942","0.872068068068068","0.203185928779725","0.856757235471929","0.297285157621022"
"1310","fasttext","scenario1_1000_insert_0.05.csv","scenario1","1000","insert","0.05","0.894898972944176","0.128285461584493","0.000598888944636884",NA,"5.35128173399236e-22",NA,"0.07",NA,"0",NA,"0.01","0.0148340019989084","0.0706712918256491","0.001","0.0316227766016838","0","0","0.0625","0.0917816248857399","0.776825","0",NA,"0",NA,"0",NA,"0.05","0.006","0.12","0.25588191564677","0.910316901638665","0.838168168168168","0.251486406136278","0.77536111970686","0.405597595345734"
