"","encoding","file","scenario","size","anomaly","impact","overlapping.F1.mean","overlapping.F1.sd","overlapping.F1v.mean","overlapping.F1v.sd","overlapping.F2.mean","overlapping.F2.sd","overlapping.F3.mean","overlapping.F3.sd","overlapping.F4.mean","overlapping.F4.sd","neighborhood.N1","neighborhood.N2.mean","neighborhood.N2.sd","neighborhood.N3.mean","neighborhood.N3.sd","neighborhood.N4.mean","neighborhood.N4.sd","neighborhood.T1.mean","neighborhood.T1.sd","neighborhood.LSC","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L2.sd","linearity.L3.mean","linearity.L3.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4","balance.C1","balance.C2","network.Density","network.ClsCoef","network.Hubs.mean","network.Hubs.sd"
"89","countervectorizer","scenario3_1000_all_0.1.csv","scenario3","1000","all","0.1","0.950879902394612","0.0343479884074357","0.235037695197546","0.188087668176495","0.0476190476190476","0.218217890235992","0.9266791765749","0.0383006531043317","0.257211216688381","0.414579779473947","0.368","0.113365293462448","0.292699154609373","0.137","0.344019402576874","0.056","0.230036772966665","0.00104961832061069","0.00533947203505408","0.988782","0.0351906380315212","0.0592557483995423","0.0637791064775846","0.0789597158975595","0.0545056098876763","0.108951540864288","0.098","0.009","0.0918367346938776","0.227153947855325","0.892482626769212","0.869841841841842","0.632790458366565","0.60576355355127","0.337512992273876"
"90","countervectorizer","scenario3_1000_all_0.15.csv","scenario3","1000","all","0.15","0.964213362270475","0.0292241757348836","0.276419538517548","0.270004566090393","0.285714285714286","0.462910049886276","0.963539017049056","0.0356673816663522","0.285714285714286","0.462910049886276","0.686","0.288813927434699","0.413190894245699","0.23","0.421043082447957","0.138","0.345072564941166","0.000482712765957447","0.00244016962202035","0.996059","0.0470611498702211","0.0779454728461686","0.0923628227046092","0.115320411947454","0.0812832458784613","0.125096434245248","0.104","0.01","0.0961538461538462","0.376108896703894","0.781499170808652","0.890228228228228","0.654760895912088","0.671009137392247","0.333220325514906"
"91","countervectorizer","scenario3_1000_all_0.2.csv","scenario3","1000","all","0.2","0.968001867994841","0.0230859334348107","0.305787322536284","0.303203221660455","0.142857142857143","0.358568582800318","0.960763262920513","0.0318415302586765","0.266431309547904","0.433442643018037","0.762","0.330837529504809","0.419105251369118","0.31","0.462724663395106","0.207","0.40535825551642","0.000417402269861286","0.00190984948659822","0.997282","0.0419916822123771","0.0764338886805048","0.0902177225992175","0.12366021910524","0.0684601356376986","0.116665796727858","0.108","0.01","0.0925925925925926","0.415264853753153","0.746180964840618","0.895521521521522","0.632776690038943","0.707568498821907","0.308527880899958"
"92","countervectorizer","scenario3_1000_attribute_0.05.csv","scenario3","1000","attribute","0.05","0.99903263775049","0.0012903546990325","0.780969254586406",NA,"1",NA,"1",NA,"1",NA,"0.149","0.0646611341632089","0.241086203678032","0.128","0.334256978577453","0.071","0.256953351846254","0.000780068728522337","0.00388426562486318","0.992546","0.0485231258407632",NA,"0.051",NA,"0.056",NA,"0.064","0.009","0.140625","0.290629793328508","0.892827960965543","0.863327327327327","0.645660404398104","0.713117898012757","0.261714970791215"
"93","countervectorizer","scenario3_1000_attribute_0.1.csv","scenario3","1000","attribute","0.1","0.999249899653595","0.0010902362686045","0.899165144945813",NA,"1",NA,"1",NA,"1",NA,"0.269","0.102473498233216","0.303807216256915","0.14","0.347160655202344","0.231","0.421683313419937","0.000325670498084291","0.00185192028042495","0.997236","0.0925586541113115",NA,"0.102",NA,"0.088",NA,"0.064","0.009","0.140625","0.475303571783445","0.775722079117736","0.878602602602603","0.627785297147093","0.737660724855329","0.251760153826875"
"94","countervectorizer","scenario3_1000_attribute_0.15.csv","scenario3","1000","attribute","0.15","0.998478993056632","0.00191909319114418","0.858896866246599",NA,"1",NA,"1",NA,"1",NA,"0.35","0.159340659340659","0.359397292278059","0.212","0.408929362143663","0.156","0.363036906933435","0.000178489702517162","0.00110614010907383","0.998905","0.120489071582616",NA,"0.137",NA,"0.137",NA,"0.064","0.009","0.140625","0.576327834755057","0.69030748960759","0.883547547547548","0.653771895163485","0.726257424629338","0.272423446918818"
"95","countervectorizer","scenario3_1000_attribute_0.2.csv","scenario3","1000","attribute","0.2","0.998894033404811","0.00190443814035051","0.911800727637158",NA,"1",NA,"1",NA,"1",NA,"0.467","0.432291666666667","0.484603971064961","0.275","0.446737702208549","0.272","0.4452125494797","5.61914672216441e-05","0.000587159174871218","0.999651","0.163874779003741",NA,"0.196",NA,"0.209",NA,"0.064","0.009","0.140625","0.713855595507648","0.539787860380356","0.895225225225225","0.646934397210559","0.756622463036471","0.262953381963097"
"96","countervectorizer","scenario3_1000_early_0.05.csv","scenario3","1000","early","0.05","0.998526254618438","0.0014060611461513","0.753549778247346",NA,"0",NA,"0.921",NA,"0.921",NA,"0.142","0.0513085399449036","0.216249554078994","0.061","0.239450070654273","0.102","0.302799748493435","0.000810526315789474","0.00451078318306409","0.991009","0.0458028430093235",NA,"0.048",NA,"0.049",NA,"0.064","0.009","0.140625","0.277839573958309","0.899415369444249","0.863459459459459","0.648703168799772","0.7068242276183","0.2684167994462"
"97","countervectorizer","scenario3_1000_early_0.1.csv","scenario3","1000","early","0.1","0.998735801575708","0.00173068466310171","0.842970002340612",NA,"1",NA,"1",NA,"1",NA,"0.25","0.138","0.338250875266383","0.165","0.37136627864268","0.192","0.394070160366516","0.000267726161369193","0.0015670911747215","0.997936","0.0842494819294312",NA,"0.092",NA,"0.088",NA,"0.064","0.009","0.140625","0.443110558244691","0.799416035959891","0.87551951951952","0.633417084832418","0.736672996771892","0.241614856847225"
"98","countervectorizer","scenario3_1000_early_0.15.csv","scenario3","1000","early","0.15","0.998849018694314","0.00118986100191494","0.912359362150412",NA,"1",NA,"1",NA,"1",NA,"0.374","0.164516129032258","0.360868709349419","0.209","0.406797842281009","0.188","0.390907672998125","0.000149270482603816","0.00114123283713478","0.998976","0.128927361400317",NA,"0.148",NA,"0.146",NA,"0.064","0.009","0.140625","0.604812590116588","0.662758355085797","0.886696696696697","0.645897335757859","0.714117604450052","0.282633639470728"
